ts,token_id,mid,best_bid,best_ask,spread,mid_diff1,mid_diff2,ma3,std3,label
1779791359103,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791360084,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791361106,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791362146,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791363096,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791364086,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791365098,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791366104,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791367095,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791368078,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791369138,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791370097,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791371083,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791372271,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791373086,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791374090,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791375110,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791376100,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791377085,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791378075,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791379173,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791380095,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791381324,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791382112,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791383115,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791384087,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791385081,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
